Date,Dividends
2014-09-24,0.630000
2014-06-24,0.603000
2014-03-25,0.769000
2013-12-23,0.589000
2013-09-24,0.604000
2013-06-26,0.606000
2013-03-25,0.584000
2012-12-19,0.790000
2012-09-25,0.523000
2012-06-19,0.551000
2012-03-26,0.533000
2011-12-22,0.587000
2011-09-23,0.549000
2011-06-24,0.536000
2011-03-25,0.503000
2010-12-22,0.592000
2010-09-23,0.464000
2010-06-24,0.428000
2010-03-25,0.489000
2009-12-23,0.501000
2009-09-22,0.391000
2009-06-24,0.467000
2009-03-25,0.573000
2008-12-23,0.910000
2008-09-24,0.780000
2008-06-25,0.636000
2008-03-25,0.750000
2007-12-27,0.781000
2007-09-25,0.688000
2007-06-28,0.746000
2007-03-23,0.677000
2006-12-20,1.086000
2006-09-26,0.708000
2006-06-22,0.644000
2006-03-24,0.450000
2005-12-22,0.859000
2005-09-23,0.662000
2005-06-20,0.643000
2005-03-24,0.645000
2004-12-23,0.647000
2004-09-24,0.615000
2004-06-25,0.650500
2004-03-26,0.691000
2003-12-16,0.000000
2003-12-12,0.755500
2003-09-12,0.610000
2003-06-13,0.622000
2003-03-07,0.345500
2002-12-13,0.881000
2002-09-13,0.582000
2002-06-14,0.633500
2002-03-08,0.591500
2001-12-14,0.592000
2001-10-01,0.110000
2001-06-08,0.392000
2001-03-09,0.110000
2000-12-20,0.508000
2000-10-18,0.460500
2000-07-19,0.312500
