Date,Dividends
2012-12-26,0.362000
2012-12-03,0.375000
2012-10-01,0.384000
2012-09-04,0.385000
2012-08-01,0.385000
2012-07-02,0.392000
2012-06-01,0.396000
2012-05-01,0.389000
2012-04-02,0.397000
2012-03-01,0.403000
2012-02-01,0.391000
2011-12-27,0.388000
2011-12-01,0.386000
2011-11-01,0.402000
2011-10-03,0.418000
2011-09-01,0.413000
2011-08-01,0.421000
2011-07-01,0.426000
2011-06-01,0.425000
2011-05-02,0.427000
2011-04-01,0.428000
2011-03-01,0.432000
2011-02-01,0.427000
2010-12-28,0.427000
2010-12-01,0.426000
2010-11-01,0.431000
2010-10-01,0.433000
2010-09-01,0.424000
2010-08-02,0.437000
2010-07-01,0.440000
2010-06-01,0.443000
2010-05-03,0.451000
2010-04-01,0.468000
2010-03-01,0.444000
2010-02-01,0.451000
2009-12-29,0.435000
2009-12-01,0.456000
2009-11-02,0.483000
2009-10-01,0.471000
2009-09-01,0.494000
2009-08-03,0.491000
2009-07-01,0.444000
2009-06-01,0.488000
2009-05-01,0.467000
2009-04-01,0.518000
2009-03-02,0.482000
2009-02-02,0.490000
2008-12-29,0.421000
2008-12-01,0.451000
2008-11-03,0.435000
2008-10-01,0.405000
2008-09-02,0.456000
2008-08-01,0.466000
2008-07-01,0.434000
2008-06-02,0.473000
2008-05-01,0.462000
2008-04-01,0.512000
2008-03-03,0.448000
2008-02-01,0.493000
2007-12-27,0.465000
2007-12-03,0.456000
2007-11-01,0.475000
2007-10-01,0.482000
2007-09-04,0.487000
2007-08-01,0.491000
2007-07-02,0.471000
2007-06-01,0.496000
2007-05-01,0.480000
2007-04-02,0.492000
2007-03-01,0.450000
2007-02-01,0.457000
2006-12-27,0.427000
2006-12-01,0.447000
2006-11-01,0.463000
2006-10-02,0.474000
2006-09-01,0.474000
2006-08-01,0.455000
2006-07-03,0.452000
2006-06-01,0.430000
2006-05-01,0.462000
2006-04-03,0.437000
2006-03-01,0.436000
2006-02-01,0.408000
2005-12-28,0.400000
2005-12-01,0.392000
2005-11-01,0.412000
2005-10-03,0.435000
2005-09-01,0.455000
2005-08-01,0.448000
2005-07-01,0.426000
2005-06-01,0.430000
2005-05-02,0.428000
2005-04-01,0.440000
2005-03-01,0.428000
2005-02-01,0.427000
2004-12-31,0.432000
2004-12-01,0.423000
2004-11-01,0.431000
2004-10-01,0.426000
2004-09-01,0.436000
2004-08-02,0.433000
2004-07-01,0.436000
2004-06-01,0.436000
2004-05-03,0.431000
2004-04-01,0.431000
2004-03-01,0.434000
2004-02-02,0.440000
2003-12-31,0.454000
2003-12-16,1.385000
2003-12-01,0.441000
2003-11-03,0.427000
2003-10-01,0.456000
2003-09-02,0.488000
2003-08-01,0.464000
2003-07-01,0.422000
2003-06-02,0.468000
2003-05-01,0.501000
2003-04-01,0.481000
2003-03-03,0.423000
2003-02-03,0.455000
