Date,Dividends
2013-12-26,0.002000
2013-03-01,0.001000
2013-02-01,0.003000
2012-12-03,0.002000
2012-10-01,0.002000
2012-09-04,0.001000
2011-12-27,0.003000
2011-12-01,0.006000
2011-11-01,0.004000
2011-10-03,0.006000
2011-09-01,0.005000
2011-08-01,0.005000
2011-07-01,0.008000
2011-06-01,0.009000
2011-05-02,0.009000
2011-04-01,0.010000
2011-03-01,0.009000
2011-02-01,0.010000
2010-12-28,0.010000
2010-12-01,0.009000
2010-11-01,0.009000
2010-10-01,0.009000
2010-09-01,0.009000
2010-08-02,0.008000
2010-07-01,0.007000
2010-06-01,0.006000
2010-05-03,0.006000
2010-04-01,0.003000
2010-03-01,0.008000
2010-02-01,0.002000
2009-12-29,0.014000
2009-12-01,0.010000
2009-11-02,0.014000
2009-10-01,0.022000
2009-09-01,0.029000
2009-08-03,0.028000
2009-07-01,0.027000
2009-06-01,0.036000
2009-05-01,0.048000
2009-04-01,0.051000
2009-03-02,0.065000
2009-02-02,0.033000
2008-12-29,0.140000
2008-12-01,0.145000
2008-11-03,0.180000
2008-10-01,0.145000
2008-09-02,0.170000
2008-08-01,0.205000
2008-07-01,0.195000
2008-06-02,0.206000
2008-05-01,0.166000
2008-04-01,0.215000
2008-03-03,0.227000
2008-02-01,0.300000
2007-12-27,0.391000
2007-12-03,0.362000
2007-11-01,0.392000
2007-10-01,0.365000
2007-09-04,0.418000
2007-08-01,0.428000
2007-07-02,0.474000
2007-06-01,0.417000
2007-05-01,0.331000
2007-04-02,0.285000
2007-03-01,0.257000
2007-02-01,0.314000
